trial,seed,graph,gen,bestSpan_gen
2,1236,sd_3_100.txt,52,122
2,1236,sd_3_100.txt,53,122
2,1236,sd_3_100.txt,54,122
2,1236,sd_3_100.txt,55,122
2,1236,sd_3_100.txt,56,122
2,1236,sd_3_100.txt,57,122
2,1236,sd_3_100.txt,58,122
2,1236,sd_3_100.txt,59,122
2,1236,sd_3_100.txt,60,122
2,1236,sd_3_100.txt,61,122
2,1236,sd_3_100.txt,62,122
2,1236,sd_3_100.txt,63,122
2,1236,sd_3_100.txt,64,122
2,1236,sd_3_100.txt,65,122
2,1236,sd_3_100.txt,66,122
2,1236,sd_3_100.txt,67,122
2,1236,sd_3_100.txt,68,122
2,1236,sd_3_100.txt,69,122
2,1236,sd_3_100.txt,70,122
2,1236,sd_3_100.txt,71,122
2,1236,sd_3_100.txt,72,122
2,1236,sd_3_100.txt,73,122
2,1236,sd_3_100.txt,74,122
2,1236,sd_3_100.txt,75,122
2,1236,sd_3_100.txt,76,122
2,1236,sd_3_100.txt,77,122
2,1236,sd_3_100.txt,78,122
2,1236,sd_3_100.txt,79,122
2,1236,sd_3_100.txt,80,122
2,1236,sd_3_100.txt,81,122
2,1236,sd_3_100.txt,82,122
2,1236,sd_3_100.txt,83,122
2,1236,sd_3_100.txt,84,122
2,1236,sd_3_100.txt,85,122
2,1236,sd_3_100.txt,86,122
2,1236,sd_3_100.txt,87,122
2,1236,sd_3_100.txt,88,122
2,1236,sd_3_100.txt,89,122
2,1236,sd_3_100.txt,90,122
2,1236,sd_3_100.txt,91,122
2,1236,sd_3_100.txt,92,122
2,1236,sd_3_100.txt,93,122
2,1236,sd_3_100.txt,94,122
2,1236,sd_3_100.txt,95,122
2,1236,sd_3_100.txt,96,122
2,1236,sd_3_100.txt,97,122
2,1236,sd_3_100.txt,98,122
2,1236,sd_3_100.txt,99,122
2,1236,sd_3_100.txt,100,122
2,1236,sd_3_100.txt,101,122
2,1236,sd_3_100.txt,102,122
2,1236,sd_3_100.txt,103,122
2,1236,sd_3_100.txt,104,122
2,1236,sd_3_100.txt,105,122
2,1236,sd_3_100.txt,106,122
2,1236,sd_3_100.txt,107,122
2,1236,sd_3_100.txt,108,122
2,1236,sd_3_100.txt,109,122
2,1236,sd_3_100.txt,110,122
2,1236,sd_3_100.txt,111,122
2,1236,sd_3_100.txt,112,122
2,1236,sd_3_100.txt,113,122
2,1236,sd_3_100.txt,114,122
2,1236,sd_3_100.txt,115,122
2,1236,sd_3_100.txt,116,122
2,1236,sd_3_100.txt,117,122
2,1236,sd_3_100.txt,118,122
2,1236,sd_3_100.txt,119,122
2,1236,sd_3_100.txt,120,122
2,1236,sd_3_100.txt,121,122
2,1236,sd_3_100.txt,122,122
2,1236,sd_3_100.txt,123,122
2,1236,sd_3_100.txt,124,122
2,1236,sd_3_100.txt,125,122
2,1236,sd_3_100.txt,126,122
2,1236,sd_3_100.txt,127,122
2,1236,sd_3_100.txt,128,122
2,1236,sd_3_100.txt,129,122
2,1236,sd_3_100.txt,130,122
2,1236,sd_3_100.txt,131,122
2,1236,sd_3_100.txt,132,122
2,1236,sd_3_100.txt,133,122
2,1236,sd_3_100.txt,134,122
2,1236,sd_3_100.txt,135,122
2,1236,sd_3_100.txt,136,122
2,1236,sd_3_100.txt,137,122
2,1236,sd_3_100.txt,138,122
2,1236,sd_3_100.txt,139,122
2,1236,sd_3_100.txt,140,122
2,1236,sd_3_100.txt,141,122
2,1236,sd_3_100.txt,142,122
2,1236,sd_3_100.txt,143,122
